"country_name","genres","n"
"Canada","Talk-Show",2
"Canada","Thriller",76
"Canada","War",5
"Canada","Western",7
"Chile","Action",127
"Chile","Adult",1
"Chile","Adventure",122
"Chile","Animation",74
"Chile","Biography",6
"Chile","Comedy",205
"Chile","Crime",103
"Chile","Documentary",9
"Chile","Drama",328
"Chile","Family",17
"Chile","Fantasy",37
"Chile","History",4
"Chile","Horror",28
"Chile","Music",34
"Chile","Musical",1
"Chile","Mystery",40
"Chile","Reality-TV",2
"Chile","Romance",124
"Chile","Sci-Fi",15
"Chile","Sport",4
"Chile","Thriller",68
"Chile","War",3
"Chile","Western",5
"Colombia","Action",138
"Colombia","Adult",1
"Colombia","Adventure",108
"Colombia","Animation",61
"Colombia","Biography",8
"Colombia","Comedy",197
"Colombia","Crime",111
"Colombia","Documentary",26
"Colombia","Drama",279
"Colombia","Family",15
"Colombia","Fantasy",40
"Colombia","History",2
"Colombia","Horror",28
"Colombia","Music",15
"Colombia","Musical",5
"Colombia","Mystery",42
"Colombia","Reality-TV",3
"Colombia","Romance",113
"Colombia","Sci-Fi",14
"Colombia","Sport",3
"Colombia","Thriller",80
"Colombia","War",2
"Colombia","Western",6
"Costa Rica","Action",116
"Costa Rica","Adult",1
"Costa Rica","Adventure",96
"Costa Rica","Animation",61
"Costa Rica","Biography",8
"Costa Rica","Comedy",210
"Costa Rica","Crime",100
"Costa Rica","Documentary",12
"Costa Rica","Drama",317
"Costa Rica","Family",21
"Costa Rica","Fantasy",36
"Costa Rica","Game-Show",1
"Costa Rica","History",2
"Costa Rica","Horror",29
"Costa Rica","Music",31
"Costa Rica","Musical",1
"Costa Rica","Mystery",38
"Costa Rica","Reality-TV",4
"Costa Rica","Romance",132
"Costa Rica","Sci-Fi",14
"Costa Rica","Sport",5
"Costa Rica","Thriller",76
"Costa Rica","War",2
"Costa Rica","Western",5
"Croatia","Action",171
"Croatia","Adventure",115
"Croatia","Animation",53
"Croatia","Biography",11
"Croatia","Comedy",199
"Croatia","Crime",128
"Croatia","Documentary",20
"Croatia","Drama",302
"Croatia","Family",27
"Croatia","Fantasy",39
"Croatia","Game-Show",11
"Croatia","History",5
"Croatia","Horror",26
"Croatia","Music",3
"Croatia","Musical",1
"Croatia","Mystery",43
"Croatia","Reality-TV",14
"Croatia","Romance",96
"Croatia","Sci-Fi",15
"Croatia","Sport",11
"Croatia","Thriller",66
"Croatia","War",4
"Croatia","Western",13
"Cyprus","Action",195
"Cyprus","Adventure",126
"Cyprus","Animation",47
"Cyprus","Biography",12
"Cyprus","Comedy",190
"Cyprus","Crime",131
"Cyprus","Documentary",13
"Cyprus","Drama",340
"Cyprus","Family",30
"Cyprus","Fantasy",44
"Cyprus","Game-Show",8
"Cyprus","History",2
"Cyprus","Horror",24
"Cyprus","Music",2
"Cyprus","Musical",1
"Cyprus","Mystery",49
"Cyprus","Reality-TV",12
"Cyprus","Romance",91
"Cyprus","Sci-Fi",41
"Cyprus","Sport",6
"Cyprus","Thriller",59
"Cyprus","War",5
"Cyprus","Western",7
"Czech Republic","Action",191
"Czech Republic","Adventure",150
"Czech Republic","Animation",83
"Czech Republic","Biography",16
"Czech Republic","Comedy",188
"Czech Republic","Crime",128
"Czech Republic","Documentary",28
"Czech Republic","Drama",300
"Czech Republic","Family",27
"Czech Republic","Fantasy",60
"Czech Republic","Game-Show",12
"Czech Republic","History",5
"Czech Republic","Horror",34
"Czech Republic","Music",2
"Czech Republic","Mystery",50
"Czech Republic","Reality-TV",16
"Czech Republic","Romance",81
"Czech Republic","Sci-Fi",12
"Czech Republic","Sport",9
"Czech Republic","Thriller",48
"Czech Republic","War",3
"Czech Republic","Western",8
"Denmark","Action",183
"Denmark","Adult",1
"Denmark","Adventure",121
"Denmark","Animation",56
"Denmark","Biography",18
"Denmark","Comedy",179
"Denmark","Crime",154
"Denmark","Documentary",21
"Denmark","Drama",318
"Denmark","Family",26
"Denmark","Fantasy",54
"Denmark","Game-Show",10
"Denmark","History",4
"Denmark","Horror",26
"Denmark","Music",3
"Denmark","Musical",1
"Denmark","Mystery",54
"Denmark","Reality-TV",21
"Denmark","Romance",79
"Denmark","Sci-Fi",23
"Denmark","Sport",10
"Denmark","Talk-Show",2
"Denmark","Thriller",65
"Denmark","War",11
"Denmark","Western",13
"Dominican Republic","Action",173
"Dominican Republic","Adult",1
"Dominican Republic","Adventure",108
"Dominican Republic","Animation",51
"Dominican Republic","Biography",6
"Dominican Republic","Comedy",157
"Dominican Republic","Crime",123
"Dominican Republic","Documentary",11
"Dominican Republic","Drama",277
"Dominican Republic","Family",18
"Dominican Republic","Fantasy",45
"Dominican Republic","Game-Show",2
"Dominican Republic","History",2
"Dominican Republic","Horror",28
"Dominican Republic","Music",31
"Dominican Republic","Musical",3
"Dominican Republic","Mystery",38
"Dominican Republic","Reality-TV",3
"Dominican Republic","Romance",79
"Dominican Republic","Sci-Fi",20
"Dominican Republic","Sport",4
"Dominican Republic","Thriller",76
"Dominican Republic","War",4
"Dominican Republic","Western",6
"Ecuador","Action",145
"Ecuador","Adult",1
"Ecuador","Adventure",120
"Ecuador","Animation",70
"Ecuador","Biography",3
"Ecuador","Comedy",206
"Ecuador","Crime",91
"Ecuador","Documentary",9
"Ecuador","Drama",262
"Ecuador","Family",15
"Ecuador","Fantasy",38
"Ecuador","History",1
"Ecuador","Horror",25
"Ecuador","Music",30
"Ecuador","Musical",1
"Ecuador","Mystery",35
"Ecuador","Reality-TV",3
"Ecuador","Romance",105
"Ecuador","Sci-Fi",19
"Ecuador","Sport",3
"Ecuador","Thriller",71
"Ecuador","War",2
"Ecuador","Western",3
"Egypt","Action",189
"Egypt","Adventure",112
"Egypt","Animation",32
"Egypt","Biography",15
"Egypt","Comedy",186
"Egypt","Crime",121
"Egypt","Documentary",9
"Egypt","Drama",342
"Egypt","Family",18
"Egypt","Fantasy",51
"Egypt","Game-Show",4
"Egypt","History",6
"Egypt","Horror",35
"Egypt","Music",1
"Egypt","Musical",1
"Egypt","Mystery",48
"Egypt","Reality-TV",6
"Egypt","Romance",86
"Egypt","Sci-Fi",29
"Egypt","Sport",1
"Egypt","Thriller",73
"Egypt","War",3
"Egypt","Western",8
"El Salvador","Action",134
"El Salvador","Adult",1
"El Salvador","Adventure",108
"El Salvador","Animation",65
"El Salvador","Biography",3
"El Salvador","Comedy",196
"El Salvador","Crime",106
"El Salvador","Documentary",10
"El Salvador","Drama",280
"El Salvador","Family",16
"El Salvador","Fantasy",39
"El Salvador","History",1
"El Salvador","Horror",22
"El Salvador","Music",29
"El Salvador","Mystery",36
"El Salvador","Reality-TV",2
"El Salvador","Romance",108
"El Salvador","Sci-Fi",18
"El Salvador","Sport",4
"El Salvador","Thriller",70
"El Salvador","War",2
"El Salvador","Western",3
"Estonia","Action",183
"Estonia","Adventure",129
"Estonia","Animation",52
"Estonia","Biography",17
"Estonia","Comedy",208
"Estonia","Crime",123
"Estonia","Documentary",16
"Estonia","Drama",286
"Estonia","Family",29
"Estonia","Fantasy",61
"Estonia","Game-Show",8
"Estonia","History",2
"Estonia","Horror",30
"Estonia","Music",5
"Estonia","Mystery",55
"Estonia","Reality-TV",15
"Estonia","Romance",77
"Estonia","Sci-Fi",61
"Estonia","Sport",7
"Estonia","Talk-Show",1
"Estonia","Thriller",51
"Estonia","War",3
"Estonia","Western",9
"Finland","Action",198
"Finland","Adult",1
"Finland","Adventure",116
"Finland","Animation",56
"Finland","Biography",15
"Finland","Comedy",173
"Finland","Crime",158
"Finland","Documentary",18
"Finland","Drama",342
"Finland","Family",25
"Finland","Fantasy",49
"Finland","Game-Show",8
"Finland","History",2
"Finland","Horror",29
"Finland","Music",5
"Finland","Mystery",54
"Finland","Reality-TV",12
"Finland","Romance",77
"Finland","Sci-Fi",31
"Finland","Sport",10
"Finland","Talk-Show",2
"Finland","Thriller",63
"Finland","War",10
"Finland","Western",9
"France","Action",203
"France","Adventure",138
"France","Animation",52
"France","Biography",10
"France","Comedy",166
"France","Crime",161
"France","Documentary",18
"France","Drama",333
"France","Family",22
"France","Fantasy",70
"France","Game-Show",3
"France","History",3
"France","Horror",41
"France","Music",20
"France","Musical",1
"France","Mystery",46
"France","Reality-TV",5
"France","Romance",73
"France","Sci-Fi",55
"France","Sport",6
"France","Thriller",80
"France","War",6
"France","Western",8
"Germany","Action",199
"Germany","Adult",4
"Germany","Adventure",167
"Germany","Animation",49
"Germany","Biography",15
"Germany","Comedy",181
"Germany","Crime",155
"Germany","Documentary",19
"Germany","Drama",306
"Germany","Family",57
"Germany","Fantasy",77
"Germany","Game-Show",5
"Germany","History",4
"Germany","Horror",40
"Germany","Music",2
"Germany","Musical",2
"Germany","Mystery",52
"Germany","Reality-TV",7
"Germany","Romance",73
"Germany","Sci-Fi",29
"Germany","Sport",10
"Germany","Talk-Show",1
"Germany","Thriller",80
"Germany","War",3
"Germany","Western",7
"Greece","Action",182
"Greece","Adventure",123
"Greece","Animation",49
"Greece","Biography",12
"Greece","Comedy",170
"Greece","Crime",147
"Greece","Documentary",13
"Greece","Drama",341
"Greece","Family",23
"Greece","Fantasy",61
"Greece","Game-Show",6
"Greece","History",4
"Greece","Horror",32
"Greece","Music",3
"Greece","Mystery",55
"Greece","Reality-TV",7
"Greece","Romance",86
"Greece","Sci-Fi",39
"Greece","Sport",6
"Greece","Talk-Show",1
"Greece","Thriller",53
"Greece","War",6
"Greece","Western",10
"Guadeloupe","Action",216
"Guadeloupe","Adventure",121
"Guadeloupe","Animation",47
"Guadeloupe","Biography",6
"Guadeloupe","Comedy",152
"Guadeloupe","Crime",158
"Guadeloupe","Documentary",12
"Guadeloupe","Drama",315
"Guadeloupe","Family",18
"Guadeloupe","Fantasy",57
"Guadeloupe","Game-Show",5
"Guadeloupe","History",3
"Guadeloupe","Horror",32
"Guadeloupe","Music",31
"Guadeloupe","Musical",3
"Guadeloupe","Mystery",41
"Guadeloupe","Reality-TV",9
"Guadeloupe","Romance",69
"Guadeloupe","Sci-Fi",45
"Guadeloupe","Sport",3
"Guadeloupe","Talk-Show",1
"Guadeloupe","Thriller",76
"Guadeloupe","War",3
"Guadeloupe","Western",10
"Guatemala","Action",117
"Guatemala","Adult",1
"Guatemala","Adventure",105
"Guatemala","Animation",64
"Guatemala","Biography",6
"Guatemala","Comedy",208
"Guatemala","Crime",99
"Guatemala","Documentary",8
"Guatemala","Drama",292
"Guatemala","Family",17
"Guatemala","Fantasy",37
"Guatemala","History",2
"Guatemala","Horror",24
"Guatemala","Music",30
"Guatemala","Musical",1
"Guatemala","Mystery",40
"Guatemala","Reality-TV",2
"Guatemala","Romance",115
"Guatemala","Sci-Fi",15
"Guatemala","Sport",3
"Guatemala","Thriller",67
"Guatemala","War",2
"Guatemala","Western",5
"Honduras","Action",130
"Honduras","Adult",1
"Honduras","Adventure",92
"Honduras","Animation",47
"Honduras","Biography",3
"Honduras","Comedy",197
"Honduras","Crime",109
"Honduras","Documentary",10
"Honduras","Drama",298
"Honduras","Family",16
"Honduras","Fantasy",36
"Honduras","History",1
"Honduras","Horror",25
"Honduras","Music",30
"Honduras","Musical",1
"Honduras","Mystery",41
"Honduras","Reality-TV",3
"Honduras","Romance",120
"Honduras","Sci-Fi",16
"Honduras","Sport",3
"Honduras","Thriller",74
"Honduras","War",2
"Honduras","Western",8
"Hong Kong","Action",238
"Hong Kong","Adventure",118
"Hong Kong","Animation",27
"Hong Kong","Biography",18
"Hong Kong","Comedy",142
"Hong Kong","Crime",120
"Hong Kong","Documentary",16
"Hong Kong","Drama",344
"Hong Kong","Family",7
"Hong Kong","Fantasy",65
"Hong Kong","Game-Show",5
"Hong Kong","History",5
"Hong Kong","Horror",45
"Hong Kong","Music",3
"Hong Kong","Musical",1
"Hong Kong","Mystery",72
"Hong Kong","News",1
"Hong Kong","Reality-TV",8
"Hong Kong","Romance",120
"Hong Kong","Sci-Fi",65
"Hong Kong","Sport",10
"Hong Kong","Thriller",83
"Hong Kong","War",5
"Hong Kong","Western",2
"Hungary","Action",184
"Hungary","Adventure",125
"Hungary","Animation",67
"Hungary","Biography",12
"Hungary","Comedy",197
"Hungary","Crime",144
"Hungary","Documentary",16
"Hungary","Drama",321
"Hungary","Family",34
"Hungary","Fantasy",55
"Hungary","Game-Show",7
"Hungary","History",5
"Hungary","Horror",36
"Hungary","Music",4
"Hungary","Musical",2
"Hungary","Mystery",48
"Hungary","Reality-TV",7
"Hungary","Romance",99
"Hungary","Sci-Fi",11
"Hungary","Sport",8
"Hungary","Thriller",55
"Hungary","War",3
"Hungary","Western",10
"Iceland","Action",179
"Iceland","Adventure",126
"Iceland","Animation",52
"Iceland","Biography",20
"Iceland","Comedy",189
"Iceland","Crime",147
"Iceland","Documentary",30
"Iceland","Drama",297
"Iceland","Family",30
"Iceland","Fantasy",36
"Iceland","Game-Show",12
"Iceland","History",3
"Iceland","Horror",21
"Iceland","Music",8
"Iceland","Mystery",48
"Iceland","Reality-TV",29
"Iceland","Romance",71
"Iceland","Sci-Fi",52
"Iceland","Sport",9
"Iceland","Talk-Show",3
"Iceland","Thriller",65
"Iceland","War",5
"Iceland","Western",7
"India","Action",256
"India","Adventure",80
"India","Animation",10
"India","Biography",4
"India","Comedy",172
"India","Crime",198
"India","Documentary",10
"India","Drama",383
"India","Family",13
"India","Fantasy",52
"India","Game-Show",6
"India","Horror",29
"India","Musical",2
"India","Mystery",67
"India","Reality-TV",4
"India","Romance",100
"India","Sci-Fi",20
"India","Sport",3
"India","Thriller",72
"India","War",4
"India","Western",2
"Indonesia","Action",190
"Indonesia","Adventure",92
"Indonesia","Animation",17
"Indonesia","Biography",14
"Indonesia","Comedy",180
"Indonesia","Crime",134
"Indonesia","Documentary",9
"Indonesia","Drama",346
"Indonesia","Family",16
"Indonesia","Fantasy",59
"Indonesia","History",11
"Indonesia","Horror",48
"Indonesia","Music",2
"Indonesia","Musical",2
"Indonesia","Mystery",73
"Indonesia","Romance",110
"Indonesia","Sci-Fi",44
"Indonesia","Sport",5
"Indonesia","Thriller",88
"Indonesia","War",3
"Indonesia","Western",3
"Ireland","Action",128
"Ireland","Adult",2
"Ireland","Adventure",129
"Ireland","Animation",68
"Ireland","Biography",35
"Ireland","Comedy",212
"Ireland","Crime",121
"Ireland","Documentary",32
"Ireland","Drama",299
"Ireland","Family",33
"Ireland","Fantasy",27
"Ireland","Film-Noir",1
"Ireland","Game-Show",5
"Ireland","History",6
"Ireland","Horror",26
"Ireland","Music",4
"Ireland","Musical",2
"Ireland","Mystery",39
"Ireland","Reality-TV",17
"Ireland","Romance",83
"Ireland","Sci-Fi",25
"Ireland","Sport",12
"Ireland","Talk-Show",1
"Ireland","Thriller",56
"Ireland","War",8
"Ireland","Western",7
"Israel","Action",181
"Israel","Adventure",116
"Israel","Animation",53
"Israel","Biography",9
"Israel","Comedy",179
"Israel","Crime",123
"Israel","Documentary",19
"Israel","Drama",329
"Israel","Family",20
"Israel","Fantasy",34
"Israel","Game-Show",12
"Israel","History",3
"Israel","Horror",18
"Israel","Music",5
"Israel","Musical",2
"Israel","Mystery",36
"Israel","Reality-TV",16
"Israel","Romance",86
"Israel","Sci-Fi",34
"Israel","Sport",10
"Israel","Talk-Show",3
"Israel","Thriller",78
"Israel","War",6
"Israel","Western",10
"Italy","Action",166
"Italy","Adult",2
"Italy","Adventure",91
"Italy","Animation",25
"Italy","Biography",13
"Italy","Comedy",174
"Italy","Crime",144
"Italy","Documentary",12
"Italy","Drama",356
"Italy","Family",21
"Italy","Fantasy",50
"Italy","Game-Show",6
"Italy","History",4
"Italy","Horror",35
"Italy","Music",7
"Italy","Mystery",67
"Italy","Reality-TV",7
"Italy","Romance",94
"Italy","Sci-Fi",37
"Italy","Sport",9
"Italy","Talk-Show",1
"Italy","Thriller",61
"Italy","War",3
"Italy","Western",9
"Jamaica","Action",213
"Jamaica","Adventure",124
"Jamaica","Animation",84
"Jamaica","Biography",7
"Jamaica","Comedy",186
"Jamaica","Crime",146
"Jamaica","Documentary",9
"Jamaica","Drama",286
"Jamaica","Family",36
"Jamaica","Fantasy",53
"Jamaica","Game-Show",4
"Jamaica","Horror",27
"Jamaica","Music",5
"Jamaica","Musical",1
"Jamaica","Mystery",36
"Jamaica","Reality-TV",8
"Jamaica","Romance",75
"Jamaica","Sci-Fi",23
"Jamaica","Sport",3
"Jamaica","Talk-Show",2
"Jamaica","Thriller",99
"Jamaica","War",3
"Jamaica","Western",9
"Japan","Action",214
"Japan","Adventure",155
"Japan","Animation",92
"Japan","Biography",9
"Japan","Comedy",157
"Japan","Crime",95
"Japan","Documentary",13
"Japan","Drama",283
"Japan","Family",14
"Japan","Fantasy",49
"Japan","History",8
"Japan","Horror",36
"Japan","Music",4
"Japan","Musical",1
"Japan","Mystery",42
"Japan","News",1
"Japan","Romance",167
"Japan","Sci-Fi",29
"Japan","Sport",4
"Japan","Thriller",66
"Japan","War",5
"Japan","Western",2
"Jordan","Action",200
"Jordan","Adventure",101
"Jordan","Animation",29
"Jordan","Biography",17
"Jordan","Comedy",238
"Jordan","Crime",125
"Jordan","Documentary",9
"Jordan","Drama",374
"Jordan","Family",16
"Jordan","Fantasy",47
"Jordan","Game-Show",5
"Jordan","History",3
"Jordan","Horror",32
"Jordan","Musical",2
"Jordan","Mystery",42
"Jordan","Reality-TV",7
"Jordan","Romance",79
"Jordan","Sci-Fi",27
"Jordan","Sport",3
"Jordan","Thriller",68
"Jordan","War",3
"Jordan","Western",10
"Kenya","Action",193
"Kenya","Adult",3
"Kenya","Adventure",89
"Kenya","Animation",25
"Kenya","Biography",11
"Kenya","Comedy",187
"Kenya","Crime",131
"Kenya","Documentary",17
"Kenya","Drama",334
"Kenya","Family",17
"Kenya","Fantasy",42
"Kenya","Game-Show",11
"Kenya","History",3
"Kenya","Horror",24
"Kenya","Music",2
"Kenya","Musical",2
"Kenya","Mystery",51
"Kenya","Reality-TV",19
"Kenya","Romance",93
"Kenya","Sci-Fi",35
"Kenya","Sport",6
"Kenya","Thriller",82
"Kenya","War",1
"Kenya","Western",9
"Kuwait","Action",214
"Kuwait","Adventure",132
"Kuwait","Animation",53
"Kuwait","Biography",15
"Kuwait","Comedy",165
"Kuwait","Crime",125
"Kuwait","Documentary",10
"Kuwait","Drama",318
"Kuwait","Family",31
"Kuwait","Fantasy",57
"Kuwait","Game-Show",8
"Kuwait","History",4
"Kuwait","Horror",41
"Kuwait","Music",1
"Kuwait","Musical",2
"Kuwait","Mystery",53
"Kuwait","Reality-TV",10
"Kuwait","Romance",68
"Kuwait","Sci-Fi",27
"Kuwait","Sport",1
"Kuwait","Thriller",89
"Kuwait","War",3
"Kuwait","Western",8
"Latvia","Action",162
"Latvia","Adventure",135
"Latvia","Animation",80
"Latvia","Biography",13
"Latvia","Comedy",234
"Latvia","Crime",122
"Latvia","Documentary",15
"Latvia","Drama",295
"Latvia","Family",28
"Latvia","Fantasy",44
"Latvia","Game-Show",8
"Latvia","History",2
"Latvia","Horror",27
"Latvia","Music",2
"Latvia","Mystery",59
"Latvia","Reality-TV",11
"Latvia","Romance",90
"Latvia","Sci-Fi",53
"Latvia","Sport",8
"Latvia","Thriller",49
"Latvia","War",2
"Latvia","Western",6
"Lebanon","Action",195
"Lebanon","Adventure",104
"Lebanon","Animation",22
"Lebanon","Biography",16
"Lebanon","Comedy",188
"Lebanon","Crime",141
"Lebanon","Documentary",8
"Lebanon","Drama",377
"Lebanon","Family",21
"Lebanon","Fantasy",60
"Lebanon","Game-Show",8
"Lebanon","History",2
"Lebanon","Horror",26
"Lebanon","Music",2
"Lebanon","Musical",2
"Lebanon","Mystery",38
"Lebanon","Reality-TV",10
"Lebanon","Romance",105
"Lebanon","Sci-Fi",26
"Lebanon","Sport",3
"Lebanon","Thriller",76
"Lebanon","War",3
"Lebanon","Western",10
"Lithuania","Action",138
"Lithuania","Adventure",96
"Lithuania","Animation",49
"Lithuania","Biography",15
"Lithuania","Comedy",215
"Lithuania","Crime",128
"Lithuania","Documentary",18
"Lithuania","Drama",296
"Lithuania","Family",26
"Lithuania","Fantasy",49
"Lithuania","Game-Show",9
"Lithuania","History",2
"Lithuania","Horror",30
"Lithuania","Music",4
"Lithuania","Mystery",45
"Lithuania","Reality-TV",10
"Lithuania","Romance",98
"Lithuania","Sci-Fi",37
"Lithuania","Sport",7
"Lithuania","Thriller",51
"Lithuania","War",3
"Lithuania","Western",8
"Luxembourg","Action",172
"Luxembourg","Adventure",129
"Luxembourg","Animation",54
"Luxembourg","Biography",10
"Luxembourg","Comedy",186
"Luxembourg","Crime",142
"Luxembourg","Documentary",17
"Luxembourg","Drama",340
"Luxembourg","Family",39
"Luxembourg","Fantasy",61
"Luxembourg","Game-Show",7
"Luxembourg","History",2
"Luxembourg","Horror",28
"Luxembourg","Music",20
"Luxembourg","Mystery",46
"Luxembourg","Reality-TV",11
"Luxembourg","Romance",95
"Luxembourg","Sci-Fi",23
"Luxembourg","Sport",11
"Luxembourg","Thriller",62
"Luxembourg","War",3
"Luxembourg","Western",10
"Malaysia","Action",216
"Malaysia","Adventure",116
"Malaysia","Animation",38
"Malaysia","Biography",7
"Malaysia","Comedy",193
"Malaysia","Crime",145
"Malaysia","Documentary",5
"Malaysia","Drama",324
"Malaysia","Family",16
"Malaysia","Fantasy",61
"Malaysia","Film-Noir",2
"Malaysia","Game-Show",2
"Malaysia","History",5
"Malaysia","Horror",41
"Malaysia","Music",1
"Malaysia","Musical",2
"Malaysia","Mystery",70
